step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
245,3,33.333333333333336,0.24242424242424232,0,0,0
246,3,33.333333333333336,0.24242424242424232,0,0,0
247,3,33.333333333333336,0.24242424242424232,0,0,0
248,3,33.333333333333336,0.24242424242424232,0,0,0
249,3,33.333333333333336,0.24242424242424232,0,0,0
250,3,33.333333333333336,0.24242424242424232,0,0,0
251,3,33.333333333333336,0.24242424242424232,0,0,0
252,3,33.333333333333336,0.24242424242424232,0,0,0
253,3,33.333333333333336,0.24242424242424232,0,0,0
254,3,33.333333333333336,0.24242424242424232,0,0,0
255,3,33.333333333333336,0.24242424242424232,0,0,0
256,3,33.333333333333336,0.24242424242424232,0,0,0
257,3,33.333333333333336,0.24242424242424232,0,0,0
258,3,33.333333333333336,0.24242424242424232,0,0,0
259,3,33.333333333333336,0.24242424242424232,0,0,0
260,3,33.333333333333336,0.24242424242424232,0,0,0
261,3,33.333333333333336,0.24242424242424232,0,0,0
262,3,33.333333333333336,0.24242424242424232,0,0,0
263,3,33.333333333333336,0.24242424242424232,0,0,0
264,3,33.333333333333336,0.24242424242424232,0,0,0
265,3,33.333333333333336,0.24242424242424232,0,0,0
266,3,33.333333333333336,0.24242424242424232,0,0,0
267,3,33.333333333333336,0.24242424242424232,0,0,0
268,3,33.333333333333336,0.24242424242424232,0,0,0
269,3,33.333333333333336,0.24242424242424232,0,0,0
270,3,33.333333333333336,0.24242424242424232,0,0,0
271,3,33.333333333333336,0.24242424242424232,0,0,0
272,3,33.333333333333336,0.24242424242424232,0,0,0
273,3,33.333333333333336,0.24242424242424232,0,0,0
274,3,33.333333333333336,0.24242424242424232,0,0,0
275,3,33.333333333333336,0.24242424242424232,0,0,0
276,3,33.333333333333336,0.24242424242424232,0,0,0
277,3,33.333333333333336,0.24242424242424232,0,0,0
278,3,33.333333333333336,0.24242424242424232,0,0,0
279,3,33.333333333333336,0.24242424242424232,0,0,0
280,3,33.333333333333336,0.24242424242424232,0,0,0
281,3,33.333333333333336,0.24242424242424232,0,0,0
282,3,33.333333333333336,0.24242424242424232,0,0,0
283,3,33.333333333333336,0.24242424242424232,0,0,0
284,3,33.333333333333336,0.24242424242424232,0,0,0
285,3,33.333333333333336,0.24242424242424232,0,0,0
286,3,33.333333333333336,0.24242424242424232,0,0,0
287,3,33.333333333333336,0.24242424242424232,0,0,0
288,3,33.333333333333336,0.24242424242424232,0,0,0
289,3,33.333333333333336,0.24242424242424232,0,0,0
290,3,33.333333333333336,0.24242424242424232,0,0,0
291,3,33.333333333333336,0.24242424242424232,0,0,0
292,3,33.333333333333336,0.24242424242424232,0,0,0
293,3,33.333333333333336,0.24242424242424232,0,0,0
294,3,33.333333333333336,0.24242424242424232,0,0,0
295,3,33.333333333333336,0.24242424242424232,0,0,0
296,3,33.333333333333336,0.24242424242424232,0,0,0
297,3,33.333333333333336,0.24242424242424232,0,0,0
298,3,33.333333333333336,0.24242424242424232,0,0,0
299,3,33.333333333333336,0.24242424242424232,0,0,0
