step,active_trains,avg_speed,congestion_index,merge_pressure,stop_ratio
0,0,0,0,0,0
1,1,0.0,1.0,0.0,1.0
2,1,0.5544956421945244,0.9873978263137608,0.0,0.0
3,1,1.198248960194178,0.9727670690864959,0.0,0.0
4,1,2.1755092495586723,0.9505566079645756,0.0,0.0
5,1,2.9297866489505395,0.9334139397965786,0.0,0.0
6,1,3.6348092509433627,0.9173906988421963,0.0,0.0
7,1,4.613003333797678,0.8951590151409619,0.0,0.0
8,1,5.241374643752351,0.8808778490056284,0.0,0.0
9,1,6.117624386679381,0.8609630821209231,0.0,0.0
10,1,6.844986772048287,0.8444321188170844,0.0,0.0
11,2,3.736213522264734,0.9150860563121651,0.0,0.5
12,2,4.499617504479829,0.8977359658072765,0.0,0.0
13,2,5.12802228477085,0.8834540389824806,0.0,0.0
14,2,5.805379428551532,0.8680595584420107,0.0,0.0
15,2,6.665753548091743,0.8485056011797332,0.0,0.0
16,2,7.317856663081329,0.8336850758390607,0.0,0.0
17,2,8.055375158204697,0.8169232918589842,0.0,0.0
18,2,8.865318555326667,0.7985154873789394,0.0,0.0
19,2,9.789985253941268,0.7775003351376985,0.0,0.0
20,2,10.55544794461457,0.7601034558042143,0.0,0.0
21,2,11.440954449411947,0.7399783079679103,0.0,0.0
22,2,12.16842588444706,0.7234448662625668,0.5,0.0
23,2,12.76734226057306,0.7098331304415213,0.5,0.0
24,2,13.582190660526976,0.6913138486243868,0.5,0.0
25,2,14.222722716047429,0.676756301908013,0.5,0.0
26,2,14.6494166716584,0.6670587120077636,0.5,0.0
27,2,15.237375956901815,0.6536960009795042,1.0,0.0
28,2,15.638060207245871,0.644589540744412,1.0,0.0
29,2,15.81975266704103,0.6404601666581584,1.0,0.0
30,2,16.30650808045175,0.6293975436260966,1.0,0.0
31,2,16.555755933688488,0.623732819688898,0.5,0.0
32,2,16.96601399296196,0.6144087728872281,0.5,0.0
33,2,17.537210554699413,0.6014270328477407,1.0,0.0
34,2,17.991176162380725,0.5911096326731653,1.0,0.0
35,2,18.472750645305496,0.5801647580612388,1.0,0.0
36,2,18.719245434971526,0.574562603750647,0.5,0.0
37,2,19.214670986984856,0.5633029321139805,0.5,0.0
38,2,19.539338824513834,0.5559241176246856,0.0,0.0
39,2,20.15843047213275,0.5418538529060739,0.5,0.0
40,2,20.271860304987058,0.539275902159385,0.0,0.0
41,2,20.63857456552796,0.5309414871470919,0.0,0.0
42,2,20.894718098512385,0.5251200432156276,0.5,0.0
43,2,21.14826594182523,0.5193575922312448,0.5,0.0
44,2,21.609596753143705,0.5088728010649157,0.5,0.0
45,2,21.851338705979288,0.503378665773198,0.5,0.0
46,2,22.264506126346532,0.4939884971284879,0.5,0.0
47,2,22.57061266101664,0.48703153043144,0.5,0.0
48,2,22.95915021916153,0.4782011313826925,0.5,0.0
49,2,23.556769868475385,0.4646188666255594,0.5,0.0
50,2,23.72329428436933,0.460834220809788,0.5,0.0
51,2,23.918045390455518,0.45640805930782913,0.5,0.0
52,2,24.434460772841703,0.4446713460717795,0.5,0.0
53,2,24.853641424386296,0.43514451308212965,0.5,0.0
54,2,25.16575133363949,0.42805110605364793,0.5,0.0
55,2,25.610884298570454,0.4179344477597624,0.5,0.0
56,2,26.03761724807555,0.40823597163464664,0.5,0.0
57,2,26.172712263651192,0.40516563037156383,0.5,0.0
58,2,26.71311911212979,0.3928836565425048,0.5,0.0
59,2,26.90960029384587,0.38841817513986665,0.5,0.0
60,2,26.823681655863766,0.3903708714576417,0.5,0.0
61,2,26.835101453820243,0.3901113305949945,0.5,0.0
62,2,26.895504811487626,0.3887385270116449,0.5,0.0
63,2,26.769235946936533,0.3916082739332606,0.5,0.0
64,2,26.93230753694661,0.3879021014330316,0.5,0.0
65,2,26.7469749826123,0.39211420494062954,0.5,0.0
66,2,26.967167037772015,0.387109840050636,0.5,0.0
67,2,26.734822835831437,0.3923903900947401,0.5,0.0
68,2,27.05052161088679,0.3852154179343912,0.5,0.0
69,2,26.96689119649818,0.3871161091704959,0.5,0.0
70,2,26.866885493684094,0.3893889660526342,0.5,0.0
71,2,26.851025109179318,0.38974942933683365,0.5,0.0
72,2,27.09110806399258,0.38429299854562327,0.5,0.0
73,2,26.834605338517576,0.39012260594278236,0.5,0.0
74,2,26.960161737166345,0.3872690514280376,0.5,0.0
75,2,26.934235983062536,0.3878582731122151,0.5,0.0
76,2,26.851919740147423,0.38972909681483126,0.5,0.0
77,2,26.852216682222206,0.38972234813131346,0.5,0.0
78,2,26.685699816676788,0.39350682234825485,0.5,0.0
79,2,27.07782540516928,0.38459487715524365,0.5,0.0
80,2,26.841300892294385,0.3899704342660367,0.5,0.0
81,2,26.860002608213108,0.3895453952678839,0.5,0.0
82,2,26.890840224572457,0.388844540350626,0.5,0.0
83,2,26.943304062646348,0.3876521803944012,0.5,0.0
84,2,26.842762681946624,0.38993721177394036,0.5,0.0
85,2,26.797609302331693,0.390963424947007,0.5,0.0
86,2,26.915645615779795,0.38828078145955014,0.5,0.0
87,2,26.95282645151019,0.38743576246567746,0.5,0.0
88,2,26.75968295772327,0.39182538732447114,0.5,0.0
89,2,26.674437358917203,0.39376278729733627,0.5,0.0
90,2,26.87276971305255,0.3892552337942603,0.5,0.0
91,2,26.793444591690786,0.39105807746157306,0.5,0.0
92,2,26.646974791947287,0.3943869365466526,0.5,0.0
93,2,26.76144037337508,0.39178544605965726,0.5,0.0
94,2,26.824523822346237,0.39035173131031276,0.5,0.0
95,2,26.76576160057448,0.39168723635058,0.5,0.0
96,2,26.93871860462241,0.3877563953494907,0.5,0.0
97,2,26.84348641341785,0.38992076333141246,0.5,0.0
98,2,26.88843820983311,0.388899131594702,0.5,0.0
99,2,26.841732298024,0.3899606295903637,0.5,0.0
100,2,26.979642933991272,0.3868262969547438,0.5,0.0
101,2,26.9735035970225,0.38696582734039775,0.5,0.0
102,2,26.90034371422371,0.3886285519494611,0.5,0.0
103,2,26.87078219995601,0.3893004045464543,0.5,0.0
104,2,26.974865265539847,0.3869348803286399,0.5,0.0
105,2,26.900117131590378,0.3886337015547642,0.5,0.0
106,2,26.91395889222622,0.38831911608576775,0.5,0.0
107,2,26.842076821427327,0.3899527995130153,0.5,0.0
108,2,26.973582109319977,0.38696404297000053,0.5,0.0
109,2,26.902647000562865,0.3885762045326622,0.5,0.0
110,2,26.753464587964118,0.39196671390990645,0.5,0.0
111,3,17.993497949481633,0.5910568647845084,0.3333333333333333,0.3333333333333333
112,3,18.288384507487837,0.5843548975570947,0.3333333333333333,0.0
113,3,18.352444911492057,0.5828989792842714,0.3333333333333333,0.0
114,3,18.68014751180696,0.5754511929134782,0.3333333333333333,0.0
115,3,18.95796664590792,0.569137121683911,0.3333333333333333,0.0
116,3,19.328776524673838,0.5607096244392309,0.3333333333333333,0.0
117,3,19.553720300784335,0.5555972658912651,0.3333333333333333,0.0
118,3,19.856199399296504,0.5487227409250794,0.3333333333333333,0.0
119,3,20.054878022521734,0.5442073176699607,0.3333333333333333,0.0
120,3,20.170974252396263,0.5415687669909941,0.3333333333333333,0.0
121,3,20.329642475621466,0.5379626710086031,0.3333333333333333,0.0
122,3,20.692393495584838,0.5297183296457991,0.3333333333333333,0.0
123,3,20.97773738434383,0.523233241264913,0.3333333333333333,0.0
124,3,21.222447946318425,0.5176716375836721,0.3333333333333333,0.0
125,3,21.470625542414684,0.5120312376723936,0.3333333333333333,0.0
126,3,21.628947625557583,0.508433008510055,0.3333333333333333,0.0
127,3,21.942291446961462,0.5013115580236032,0.3333333333333333,0.0
128,3,22.066630834985215,0.49848566284124507,0.3333333333333333,0.0
129,3,22.38308404723648,0.49129354438098904,0.3333333333333333,0.0
130,3,22.67864527673616,0.48457624371054187,0.3333333333333333,0.0
131,3,23.014437656189937,0.476944598722956,0.3333333333333333,0.0
132,3,23.04090342616352,0.4763431039508291,0.3333333333333333,0.0
133,3,23.426755123228457,0.4675737471993533,0.3333333333333333,0.0
134,3,23.64531833775497,0.4626064014146598,0.3333333333333333,0.0
135,3,23.966711321884457,0.4553020154117169,0.3333333333333333,0.0
136,3,24.201784109463915,0.4499594520576383,0.3333333333333333,0.0
137,3,24.535819538946573,0.4423677377512143,0.3333333333333333,0.0
138,3,24.95396617986262,0.4328644050031223,0.3333333333333333,0.0
139,3,24.929319172593143,0.4334245642592468,0.3333333333333333,0.0
140,3,25.30253422764751,0.42494240391710203,0.3333333333333333,0.0
141,3,25.717004340297233,0.4155226286296083,0.3333333333333333,0.0
142,3,25.92688331718091,0.4107526518822521,0.3333333333333333,0.0
143,3,26.327998641335096,0.40163639451511146,0.3333333333333333,0.0
144,3,26.483806302227702,0.3980953113130068,0.3333333333333333,0.0
145,3,26.667076423376177,0.3939300812869051,0.3333333333333333,0.0
146,3,26.944761029987905,0.38761906750027486,0.6666666666666666,0.0
147,3,27.257261011982337,0.3805167951822196,0.6666666666666666,0.0
148,3,27.39829877849358,0.3773113913978732,0.6666666666666666,0.0
149,3,27.73942276179635,0.36955857359553745,0.3333333333333333,0.0
150,3,27.878621369639102,0.36639496887183853,0.3333333333333333,0.0
151,3,27.796884734804433,0.3682526196635356,0.6666666666666666,0.0
152,3,27.7835229706252,0.36855629612215457,0.3333333333333333,0.0
153,3,27.70632618976136,0.3703107684145146,0.3333333333333333,0.0
154,3,27.82744772111376,0.3675580063383236,0.3333333333333333,0.0
155,3,27.894132280295405,0.36604244817510445,0.3333333333333333,0.0
156,3,27.899482209739897,0.36592085886954784,0.3333333333333333,0.0
157,3,27.795056589491043,0.3682941684206581,0.3333333333333333,0.0
158,3,27.901745300002705,0.36586942499993846,0.3333333333333333,0.0
159,3,27.66128924624839,0.37133433531253657,0.3333333333333333,0.0
160,3,27.805008275589596,0.36806799373660004,0.3333333333333333,0.0
161,3,27.881249445451733,0.36633523987609695,0.3333333333333333,0.0
162,3,27.841738687168498,0.36723321165526146,0.3333333333333333,0.0
163,3,27.855262242179986,0.3669258581322731,0.3333333333333333,0.0
164,3,27.955049713413853,0.364657961058776,0.3333333333333333,0.0
165,3,27.76435263377304,0.3689919855960673,0.3333333333333333,0.0
166,3,27.638246440173436,0.3718580354506037,0.3333333333333333,0.0
167,3,27.860867332550697,0.36679846971475694,0.3333333333333333,0.0
168,3,27.797971162285346,0.3682279281298785,0.3333333333333333,0.0
169,3,27.653065868342917,0.37152123026493367,0.3333333333333333,0.0
170,3,27.787988020960864,0.36845481770543487,0.3333333333333333,0.0
171,3,27.906691233200643,0.3657570174272581,0.3333333333333333,0.0
172,3,27.866571852122433,0.366668821542672,0.3333333333333333,0.0
173,3,27.84442335832864,0.3671721964016218,0.3333333333333333,0.0
174,3,27.845501447600935,0.367147694372706,0.3333333333333333,0.0
175,3,27.84563280114283,0.3671447090649357,0.3333333333333333,0.0
176,3,27.928644915344194,0.3652580701058138,0.3333333333333333,0.0
177,3,27.908226109226234,0.365722133881222,0.3333333333333333,0.0
178,3,27.74196163153586,0.3695008720105486,0.3333333333333333,0.0
179,3,27.939844542726252,0.3650035331198579,0.3333333333333333,0.0
180,3,27.84907876746729,0.36706639164847066,0.3333333333333333,0.0
181,3,27.81346390314866,0.36787582038298505,0.3333333333333333,0.0
182,3,27.846535832621157,0.36712418562224647,0.3333333333333333,0.0
183,3,27.709674886699457,0.37023466166592145,0.3333333333333333,0.0
184,3,27.795454047891933,0.36828513527518336,0.3333333333333333,0.0
185,3,27.888044673212182,0.3661808028815413,0.3333333333333333,0.0
186,3,27.886480736196972,0.36621634690461424,0.3333333333333333,0.0
187,3,27.81781337953483,0.36777696864693565,0.3333333333333333,0.0
188,3,27.87664521341988,0.3664398815131845,0.3333333333333333,0.0
189,3,27.898788972757757,0.3659366142555055,0.3333333333333333,0.0
