train_id,latitude,longitude,delay_minutes,timestamp
53001,22.58382,88.34221,0,1771922676.8832152
22388,23.79096,86.42972,0,1771922677.4146528
37245,22.58382,88.34221,0,1771922678.0708768
37283,22.58382,88.34221,0,1771922678.6881545
37272,22.9226,88.3782,0,1771922679.8290849
37278,22.9226,88.3782,0,1771922680.4493744
37611,22.58382,88.34221,0,1771922681.0862916
37833,22.58382,88.34221,0,1771922681.6956458
37289,22.58382,88.34221,0,1771922682.2931044
04459,22.58382,88.34221,0,1771922683.4320502
15959,22.58382,88.34221,0,1771922684.0401292
37921,22.58382,88.34221,0,1771922684.5812585
37213,22.58382,88.34221,0,1771922685.2015436
37917,22.58382,88.34221,0,1771922685.72667
37291,22.58382,88.34221,0,1771922686.308331
37262,22.9226,88.3782,0,1771922686.8777614
37846,23.24976,87.87004,0,1771922688.208667
13465,22.620386,88.33916,-9,1771922688.8209367
37912,23.64018,88.12254,0,1771922689.959234
13017,22.58382,88.34221,0,1771922690.6942244
13024,25.030186,85.650085,-4,1771922691.2672405
37857,22.58382,88.34221,0,1771922691.8502963
13428,25.2407,87.6348,0,1771922692.506589
37266,22.9226,88.3782,0,1771922693.0878193
15721,21.62327,87.50828,0,1771922693.6747594
37853,22.58382,88.34221,0,1771922694.2740269
37224,22.9226,88.3782,0,1771922694.8675396
37847,22.58382,88.34221,0,1771922695.4941783
37264,22.9226,88.3782,0,1771922696.0391893
37248,22.667383,88.34122,14,1771922696.555583
37918,23.64018,88.12254,0,1771922697.2272105
37257,22.58382,88.34221,0,1771922697.742385
13021,22.58382,88.34221,0,1771922698.3117597
37253,22.58382,88.34221,0,1771922698.8362584
13019,25.755316,85.122665,35,1771922699.398932
37845,22.58382,88.34221,0,1771922699.9512415
37916,23.64018,88.12254,0,1771922701.0863867
37838,23.166113,88.10867,0,1771922701.6017296
37240,22.9226,88.3782,0,1771922702.2117164
37827,22.58382,88.34221,0,1771922702.8204732
37834,23.24976,87.87004,0,1771922703.3995736
37268,22.9226,88.3782,0,1771922703.9458692
37269,22.58382,88.34221,0,1771922704.5373049
37233,22.58382,88.34221,0,1771922705.1341429
37236,22.9226,88.3782,0,1771922705.7424276
13031,23.26668,87.85819,-16,1771922706.3050125
37246,22.9226,88.3782,0,1771922706.9285579
37281,22.58382,88.34221,0,1771922707.5240796
37270,22.9226,88.3782,0,1771922708.0572178
37822,23.24976,87.87004,0,1771922708.7367764
37265,22.58382,88.34221,0,1771922709.7720022
37915,22.58382,88.34221,0,1771922710.46241
13018,24.23022,88.26003,0,1771922711.034109
37250,22.736877,88.34358,7,1771922711.607325
63502,23.24976,87.87004,0,1771922712.404601
37285,22.58382,88.34221,0,1771922713.0639617
37228,22.9226,88.3782,0,1771922713.7101815
37232,22.9226,88.3782,0,1771922714.648737
13029,22.58382,88.34221,0,1771922715.2966046
37221,22.58382,88.34221,0,1771922715.9554286
13023,22.58382,88.34221,0,1771922716.9705799
37225,22.58382,88.34221,0,1771922717.6188364
15711,22.58382,88.34221,0,1771922718.2829685
37914,23.64018,88.12254,0,1771922719.0001328
37273,22.58382,88.34221,0,1771922719.6146898
37850,23.24976,87.87004,0,1771922720.2432067
53048,24.17954,87.78191,0,1771922720.911779
13063,24.795732,87.91612,-3,1771922721.5245109
37851,22.58382,88.34221,0,1771922722.1446154
37926,23.64018,88.12254,0,1771922722.7015316
37811,22.58382,88.34221,0,1771922723.354727
37287,22.58382,88.34221,0,1771922724.0240002
37222,22.9226,88.3782,0,1771922724.6420228
37920,23.64018,88.12254,0,1771922725.2766712
15960,26.466,89.762,-23,1771922725.846016
37844,23.24976,87.87004,0,1771922726.3989012
37658,23.1724,88.0961,0,1771922726.9455283
37612,23.0707,88.2695,0,1771922727.6956494
37247,22.58382,88.34221,0,1771922728.3171277
13053,24.675747,87.84256,23,1771922729.153515
37212,22.9226,88.3782,0,1771922729.7589
37237,22.58382,88.34221,0,1771922730.4165187
37821,22.58382,88.34221,0,1771922731.1310194
37831,22.58382,88.34221,0,1771922731.7044513
37820,23.24976,87.87004,0,1771922732.3934233
37657,22.672932,88.34134,-4,1771922732.989995
37819,22.58382,88.34221,0,1771922733.5934093
37843,22.58382,88.34221,0,1771922734.1671903
37919,22.58382,88.34221,0,1771922734.720957
37835,22.58382,88.34221,0,1771922735.3073397
37267,22.58382,88.34221,0,1771922735.9893363
37814,23.24976,87.87004,0,1771922736.6812224
37235,22.58382,88.34221,0,1771922737.7554812
37816,23.24976,87.87004,0,1771922738.5411046
13016,23.69529,87.69412,41,1771922739.282241
13466,25.01622,88.13033,0,1771922739.9223826
22321,22.58382,88.34221,0,1771922740.7504914
37226,22.9226,88.3782,0,1771922742.003048
37924,23.64018,88.12254,0,1771922742.606158
27575,22.58382,88.34221,0,1771922743.2713802
37842,23.24976,87.87004,0,1771922743.9107738
37812,23.24976,87.87004,0,1771922744.5355797
37828,23.24976,87.87004,0,1771922745.2479134
37928,23.64018,88.12254,0,1771922745.9260044
13032,24.260288,87.82684,-13,1771922746.5132663
13027,22.58382,88.34221,0,1771922747.1457527
37251,22.840363,88.3451,-9,1771922748.2751424
37223,22.58382,88.34221,0,1771922748.8674636
37216,22.9226,88.3782,0,1771922749.5167704
37823,22.58382,88.34221,0,1771922750.1593134
13054,23.144943,88.154335,20,1771922751.043037
13064,25.233,88.758,0,1771922751.7608862
37275,22.58382,88.34221,0,1771922752.442682
37254,22.9226,88.3782,0,1771922753.0417938
37263,22.58382,88.34221,0,1771922753.8585806
37839,22.58382,88.34221,0,1771922754.450947
37832,23.24976,87.87004,0,1771922755.0992
22322,23.729006,87.28249,-2,1771922755.688319
13011,22.58382,88.34221,0,1771922756.2670028
37813,22.58382,88.34221,0,1771922756.8975136
37913,22.58382,88.34221,0,1771922757.5655963
37818,23.24976,87.87004,0,1771922758.189503
37211,22.58382,88.34221,0,1771922758.900606
37271,22.58382,88.34221,0,1771922760.1037989
37651,22.58382,88.34221,0,1771922760.77007
63501,22.58382,88.34221,0,1771922761.736134
