step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches,avg_predicted_delay,throughput
0,0,0,0,0,0,0,0,0
1,1,0.0,1.0,0,0,0,31.020000457763672,0
2,1,1.0,0.9772727272727273,0,0,0,31.190000534057617,0
3,1,2.0,0.9545454545454546,0,0,0,31.190000534057617,0
4,1,3.0,0.9318181818181819,0,0,0,31.25,0
5,1,4.0,0.9090909090909091,0,0,0,31.5,0
6,2,2.5,0.9431818181818182,0,0,0,31.454999923706055,0
7,2,3.5,0.9204545454545454,0,0,0,31.5,0
8,2,4.5,0.8977272727272727,0,0,0,31.600000381469727,0
9,2,5.5,0.875,0,0,0,31.4399995803833,0
10,2,6.5,0.8522727272727273,0,0,0,30.860000610351562,0
11,2,7.5,0.8295454545454546,0,0,0,30.600000381469727,0
12,2,8.5,0.8068181818181819,0,0,0,29.84000015258789,0
13,2,9.5,0.7840909090909091,0,0,0,29.7549991607666,0
14,2,10.5,0.7613636363636364,0,0,0,29.424999237060547,0
15,2,11.5,0.7386363636363636,0,0,1,27.989999771118164,0
16,2,12.5,0.7159090909090908,0,0,0,28.1899995803833,0
17,2,13.5,0.6931818181818181,0,0,0,28.04499912261963,0
18,2,14.5,0.6704545454545454,0,0,0,27.479999542236328,0
19,2,15.5,0.6477272727272727,0,0,0,27.285000801086426,0
20,2,16.5,0.625,0,0,0,26.809999465942383,0
21,2,17.5,0.6022727272727273,0,0,0,26.289999961853027,0
22,2,18.5,0.5795454545454546,0,0,0,26.235000610351562,0
23,2,19.5,0.5568181818181819,0,0,0,25.729999542236328,0
24,2,20.5,0.5340909090909092,0,0,1,24.84500026702881,0
25,2,21.5,0.5113636363636364,0,0,0,24.255000114440918,0
26,2,22.5,0.48863636363636365,0,0,0,23.979999542236328,0
27,2,23.5,0.46590909090909094,0,0,0,23.369999885559082,0
28,2,24.5,0.44318181818181823,0,0,0,23.31999969482422,0
29,2,25.5,0.4204545454545454,0,0,0,17.945000171661377,0
30,2,26.5,0.3977272727272727,0,0,0,17.649999618530273,0
31,2,27.5,0.375,0,0,0,17.110000610351562,0
32,2,28.5,0.3522727272727273,0,0,0,16.515000343322754,0
33,2,29.5,0.3295454545454546,0,0,0,15.96999979019165,0
34,2,30.5,0.30681818181818177,0,0,0,15.49500036239624,0
35,3,21.0,0.5227272727272727,0,0,0,20.833333015441895,0
36,3,22.0,0.5,0,0,0,19.4366668065389,0
37,3,23.0,0.4772727272727273,0,0,0,19.599999745686848,0
38,3,23.666666666666668,0.46212121212121204,0,0,0,19.849999745686848,0
39,3,24.333333333333332,0.446969696969697,0,0,0,19.829999923706055,0
40,3,25.0,0.43181818181818177,0,0,0,20.073333104451496,0
41,3,25.666666666666668,0.41666666666666663,0,0,0,19.916666666666668,0
42,3,26.333333333333332,0.4015151515151515,0,0,0,20.250000317891438,0
43,3,26.666666666666668,0.3939393939393939,0,0,0,20.226667086283367,0
44,3,27.0,0.38636363636363635,0,0,0,19.749999682108562,0
45,3,27.333333333333332,0.3787878787878788,0,0,0,19.5099999109904,0
46,3,27.666666666666668,0.3712121212121212,0,0,0,19.2400000890096,0
47,3,28.0,0.36363636363636365,0,0,0,19.0633331934611,0
48,3,28.333333333333332,0.3560606060606061,0,0,0,16.076666514078777,0
49,3,28.666666666666668,0.3484848484848485,0,0,0,16.166666666666668,0
50,3,29.0,0.34090909090909094,0,0,0,16.426666259765625,0
51,3,29.333333333333332,0.33333333333333337,0,0,0,16.233332951863606,0
52,3,29.666666666666668,0.3257575757575757,0,0,0,15.90999984741211,0
53,3,30.0,0.31818181818181823,0,0,0,15.936666488647461,0
54,3,30.333333333333332,0.31060606060606066,0,0,0,15.893332799275717,0
55,3,30.666666666666668,0.303030303030303,0,0,0,15.933333079020182,0
